id,issue_date,status,location,short_term_rental_type,property_type,property_type_additional_description,condo_association,total_bedrooms,rented_bedrooms,maximum_renter_capacity,kitchen,bathrooms,all_rental_services
13727,March 27 2018,Complete,"65 Pearl St
Cambridge, MA 02139
(42.363228, -71.104202)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,4,Yes,1,"Airbnb, HomeAway"
14766,April 26 2018,Complete,"34 Essex St
Cambridge, MA 02139
(42.366748, -71.101654)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,1,1,2,Yes,1,Airbnb
13941,January 13 2020,Complete,"24 Corporal Mcternan St
Cambridge, MA 02139
(42.361299, -71.108347)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,"Park View Cooperative is a 12 unit cooperative with 2 entrances. 6 of the units are 1 bedroom, including mine. 4 of the units are 1.5 bedroom units and the remaining 2 units are 2 bedroom",No,1,1,2,Yes,1,Airbnb
54029,November 27 2019,Complete,"152 Berkshire St
Cambridge, MA 02141
(42.372124, -71.089837)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,The unit is one of approximately 30 units in the condo association.,Yes,1,1,4,Yes,1,"Airbnb, HomeAway, VRBO"
46488,July 09 2019,Complete,"26 Sacramento St
Cambridge, MA 02138
(42.382554, -71.117114)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,4,6,Yes,2,Airbnb
11734,March 26 2018,Complete,"31 Inman St
Cambridge, MA 02139
(42.368168, -71.10424)",This application is for an OWNER-OCCUPIED short-term rental,Two-family dwelling,,No,4,3,6,No,2,Airbnb
13880,May 22 2018,Complete,"2 Washington Ct
Cambridge, MA 02139
(42.365517, -71.098163)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,Yes,2,2,5,Yes,1,Airbnb
15249,April 29 2019,Complete,"32 Suffolk St
Cambridge, MA 02139
(42.366383, -71.100068)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,4,2,4,No,1,"Airbnb, HomeAway"
14033,June 25 2018,Complete,"84 Thorndike St
Cambridge, MA 02141
(42.369879, -71.081958)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,4,3,6,Yes,1,"Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Couch_Surfing, Boston_Rentals"
28660,January 24 2019,Complete,"305 Washington St
Cambridge, MA 02139
(42.365251, -71.098097)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,6 unit apartment building,No,3,2,3,Yes,1,Airbnb
12092,March 25 2019,Complete,"14 Lee St
Cambridge, MA 02139
(42.368375, -71.107202)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,2,Yes,1,Airbnb
14635,April 29 2019,Complete,"117 Trowbridge St
Cambridge, MA 02138
(42.376873, -71.10957)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,3,4,Yes,3,Airbnb
53615,November 04 2019,Complete,"109 Pleasant St
Cambridge, MA 02139
(42.361433, -71.11127)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,8-unit townhouses,Yes,1,1,2,Yes,1,Airbnb
62160,January 28 2020,Complete,"86 Sciarappa St
Cambridge, MA 02141
(42.369566, -71.081877)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,1,1,Yes,2,Airbnb
18635,December 11 2019,Complete,"199 Mt Auburn St
Cambridge, MA 02138
(42.374609, -71.129086)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,7,Yes,1,Airbnb
12127,March 26 2018,Complete,"50 Inman St
Cambridge, MA 02139
(42.369678, -71.103204)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,3,3,6,Yes,2,Airbnb
62555,January 10 2020,Complete,"69 Vassal Ln
Cambridge, MA 02138
(42.382826, -71.136052)",This application is for an OWNER-ADJACENT short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,Yes,2,2,6,Yes,2,Airbnb
13672,March 28 2018,Complete,"346 Washington St
Cambridge, MA 02139
(42.365528, -71.099197)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,4,Yes,2,"Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Couch_Surfing, Boston_Rentals"
14784,May 18 2018,Complete,"57 Rice St
Cambridge, MA 02140
(42.394324, -71.129571)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,2 unit condo association,Yes,5,1,2,No,1,Airbnb
14868,April 19 2018,Complete,"404-A Broadway
Cambridge, MA 02139
(42.371998, -71.1078)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,2,4,Yes,1,Airbnb
15495,May 21 2019,Complete,"112 Prospect St
Cambridge, MA 02139
(42.367818, -71.102077)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Attached Single Family.&nbsp; Separate owner on other side of building.,No,6,3,6,No,2,website
16006,November 25 2019,Complete,"1531 Cambridge St
Cambridge, MA 02139
(42.374346, -71.105722)",This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,9,3,6,Yes,3,Airbnb
13530,March 20 2019,Complete,"48 Berkshire St
Cambridge, MA 02141
(42.369553, -71.091315)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,2,4,Yes,1,"Airbnb, HomeAway, VRBO, Craigslist, Couch_Surfing, Boston_Rentals"
13327,July 15 2019,Complete,"11 Miller Ave
Cambridge, MA 02140
(42.392468, -71.120672)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,1,1,2,No,1,Airbnb
13493,March 26 2018,Complete,"6 Hurlbut St
Cambridge, MA 02138
(42.383613, -71.120481)",This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,1,1,No,1,Airbnb
13330,March 26 2019,Complete,"12 Harrington Rd
Cambridge, MA 02140
(42.396669, -71.131531)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,1,1,Yes,2,Airbnb
59484,November 07 2019,Complete,"11 Sargent St
Cambridge, MA 02140
(42.392712, -71.131983)",This application is for an OWNER-ADJACENT short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,3,6,Yes,2,"Airbnb, HomeAway, Boston_Rentals"
63423,January 17 2020,Complete,"311 Pearl St
Cambridge, MA 02139
(42.357029, -71.110918)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,2,Yes,1,Airbnb
13637,March 30 2018,Complete,"41 Pleasant St
Cambridge, MA 02139
(42.364207, -71.108007)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,7,Yes,2,Airbnb
13177,March 26 2020,Complete,"105 Chestnut St
Cambridge, MA 02139
(42.356914, -71.109298)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,Airbnb
15955,May 29 2018,Complete,"28 Andrew St
Cambridge, MA 02139
(42.361383, -71.112144)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,2,Yes,1,Airbnb
13985,July 05 2019,Complete,"34 Prentiss St
Cambridge, MA 02140
(42.384392, -71.117088)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,3,Yes,1,Airbnb
14650,April 30 2019,Complete,"562 Franklin St
Cambridge, MA 02139
(42.368095, -71.112102)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,2,"Airbnb, HomeAway"
17697,August 13 2018,Complete,"23 Sullivan Rd
Cambridge, MA 02138
(42.3758, -71.153812)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,Yes,1,1,2,Yes,1,Airbnb
15004,May 29 2018,Complete,"30 Andrew St
Cambridge, MA
(42.361743, -71.111718)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,2,2,Yes,2,Airbnb
16228,July 09 2019,Complete,"55 Belmont St
Cambridge, MA 02138
(42.374955, -71.152338)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,1,2,Yes,1,Airbnb
13313,March 26 2018,Complete,"149 Norfolk St
Cambridge, MA 02139
(42.367815, -71.099504)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,1,2,No,1,Airbnb
13577,March 26 2018,Complete,"113 Pleasant St
Cambridge, MA 02139
(42.36121, -71.111526)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,8 unit condo association. All 8 units are townhouses and all are owner occupied.,Yes,3,2,4,Yes,3.5,Airbnb
13896,April 08 2019,Complete,"427 Putnam Ave
Cambridge, MA 02139
(42.359459, -71.111647)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,5,1,2,Yes,1,Airbnb
14863,July 11 2018,Complete,"95 Jackson St
Cambridge, MA 02140
(42.396167, -71.135283)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,1,6,Yes,1,Colbyco Vacation Rentals
33443,March 27 2019,Complete,"10 Springfield St
Cambridge, MA 02139
(42.374033, -71.100436)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,mixed use building with two residential units,No,3,2,4,Yes,1,Airbnb
13673,March 28 2018,Complete,"344 Washington St
Cambridge, MA 02139
(42.36552, -71.099169)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,2,"Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Couch_Surfing, Boston_Rentals"
13791,February 03 2020,Complete,"13 Fulkerson St
Cambridge, MA 02141
(42.371475, -71.086994)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,1,1,2,Yes,1,Airbnb
59653,January 21 2020,Complete,"60 Rice St
Cambridge, MA 02140
(42.394229, -71.12973)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,2,4,No,2,Airbnb
13348,March 25 2020,Complete,"356-A Concord Ave
Cambridge, MA 02138
(42.384863, -71.136407)",This application is for an OWNER-ADJACENT short-term rental,Single-family detached dwelling,,No,1,1,3,Yes,1,Airbnb
15162,April 10 2019,Complete,"30 Carver St
Cambridge, MA 02138
(42.382189, -71.112904)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,5,Yes,2,Airbnb
15661,March 18 2019,Complete,"12 Tremont St
Cambridge, MA 02139
(42.369617, -71.099447)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,2,4,Yes,1,"Airbnb, FlipKey"
23373,November 13 2018,Complete,"1 Pine St
Cambridge, MA 02139
(42.364066, -71.098362)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2.5,2,4,Yes,1.5,"Airbnb, HomeAway, VRBO, Sabbatical Homes"
59384,November 26 2019,Complete,"235 Brookline St
Cambridge, MA 02139
(42.358314, -71.107038)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,3,4,Yes,1,"Airbnb, HomeAway, VRBO"
13965,April 05 2019,Complete,"55 Maple Ave
Cambridge, MA 02139
(42.373696, -71.103668)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,house w/2 condos,Yes,4,2,3,No,1,Airbnb
49891,September 11 2019,Complete,"47 Fairmont St
Cambridge, MA 02139
(42.362088, -71.111489)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,1,1,2,Yes,1,Airbnb
14643,July 11 2018,Complete,"149 Walden St
Cambridge, MA 02140
(42.387366, -71.12771)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,2,3,Yes,1,Airbnb
13862,March 19 2019,Complete,"81 Kirkland St
Cambridge, MA 02138
(42.377864, -71.108306)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,1,2,No,1,Airbnb
14807,April 26 2018,Complete,"322 Pearl St
Cambridge, MA 02139
(42.356877, -71.111068)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,3,No,1,Airbnb
13682,April 03 2018,Complete,"80 Normandy Ave
Cambridge, MA 02138
(42.394116, -71.155588)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,1,"Airbnb, VRBO"
30910,February 06 2019,Complete,"116 Henry St
Cambridge, MA 02139
(42.356637, -71.110903)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,4,8,Yes,2,Airbnb
14729,April 29 2019,Complete,"283 Sidney St
Cambridge, MA 02139
(42.355668, -71.107766)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,1,2,Yes,1,Airbnb
13885,April 13 2020,Complete,"12 Tremont St
Cambridge, MA 02139
(42.369617, -71.099447)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,"Airbnb, FlipKey"
14730,April 09 2019,Complete,"620 Cambridge St
Cambridge, MA 02141
(42.371875, -71.086571)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,4 units dwelling owned by same owner,No,2,1,2,Yes,1,Airbnb
14035,April 05 2018,Complete,"80 Sixth St
Cambridge, MA 02141
(42.369065, -71.085406)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,3,Yes,1,Airbnb
50860,July 15 2019,Complete,"70 Reed St
Cambridge, MA 02140
(42.395423, -71.132141)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,3,Yes,1,Airbnb
11735,March 26 2018,Complete,"31-A Inman St
Cambridge, MA 02139
(42.368165, -71.104242)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,2,Yes,1,Airbnb
62029,January 10 2020,Complete,"28 Royal Ave
Cambridge, MA 02138
(42.382165, -71.132477)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,5,Yes,1,Airbnb
13751,June 24 2019,Complete,"161 Raymond St
Cambridge, MA 02140
(42.388156, -71.127985)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,1,4,Yes,1,Airbnb
20171,January 03 2020,Complete,"195 Grove St
Cambridge, MA 02138
(42.383593, -71.158634)",This application is for an OWNER-ADJACENT short-term rental,Single-family detached dwelling,,No,8,2,5,Yes,7,Airbnb
46428,May 16 2019,Complete,"195 Erie St
Cambridge, MA 02139
(42.36024, -71.107973)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,1,Airbnb
12096,March 19 2019,Complete,"13 Tremont St
Cambridge, MA 02139
(42.369397, -71.099601)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,6,Yes,2,"Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Couch_Surfing, Boston_Rentals, Bed and Breakfast Associate Bay Colony, bnbboston.com"
53564,August 26 2019,Complete,"9 Remington St
Cambridge, MA 02138
(42.371153, -71.113432)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,2,2,4,No,1,Airbnb
13681,March 26 2020,Complete,"74 Ellery St
Cambridge, MA 02138
(42.373139, -71.109454)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,4,3,6,No,3,"eviivo, Parkside (GoDaddy Host) TripAdvisor, Bay Colony Associates, Expedia, Hotel.com"
14591,March 15 2019,Complete,"93 Third St
Cambridge, MA 02141
(42.36992, -71.080102)",This application is for an OWNER-ADJACENT short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,1,1,2,Yes,1,Airbnb
62339,March 09 2020,Complete,"81 Sixth St
Cambridge, MA 02141
(42.368823, -71.085461)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,2,9,Yes,1,Airbnb
13863,April 16 2019,Complete,"20 Forest St
Cambridge, MA 02140
(42.3852, -71.116461)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,3,2,2,Yes,2,Airbnb
18602,January 06 2020,Complete,"191 Mt Auburn St
Cambridge, MA 02138
(42.374587, -71.128748)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,1,3,Yes,1,Airbnb
30438,April 16 2019,Complete,"13 Hunting St
Cambridge, MA 02141
(42.373127, -71.091044)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,There are 6 units in the building,No,2,2,4,Yes,1,Airbnb
13943,April 10 2018,Complete,"340 Putnam Ave
Cambridge, MA 02139
(42.361439, -71.113402)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,Airbnb
59485,November 07 2019,Complete,"13 Sargent St
Cambridge, MA 02140
(42.392712, -71.131983)",This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,2,4,No,2,"Airbnb, HomeAway, Boston_Rentals"
13347,March 27 2018,Complete,"48 Seventh St
Cambridge, MA 02141
(42.371433, -71.085608)",This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,2,3,Yes,1,Airbnb
13495,March 27 2018,Complete,"133 Chestnut St
Cambridge, MA 02139
(42.35736, -71.110063)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,3,7,Yes,2.5,Airbnb
15094,May 15 2019,Complete,"36-A Dana St
Cambridge, MA 02138
(42.371689, -71.109027)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,2,6,Yes,2,Airbnb
67341,March 04 2020,Complete,"6 Forest St
Cambridge, MA 02140
(42.385305, -71.118277)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,3,6,No,1,Airbnb
13728,March 27 2018,Complete,"63 Pearl St
Cambridge, MA 02139
(42.363246, -71.104182)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,1,1,2,Yes,1,"Airbnb, HomeAway"
17249,July 12 2019,Complete,"73 Plymouth St
Cambridge, MA 02141
(42.368985, -71.093748)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,3,6,Yes,1,Airbnb
13319,March 15 2019,Complete,"11 Market St
Cambridge, MA 02139
(42.366969, -71.094108)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,1,1,3,Yes,1,Bed &amp; Breakfast Associates
14764,March 25 2019,Complete,"372-A Broadway
Cambridge, MA 02139
(42.370902, -71.105017)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,6,3,8,Yes,1.5,Airbnb
15178,May 02 2018,Complete,"305 Washington St
Cambridge, MA 02139
(42.365251, -71.098097)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,6 family apartment building&nbsp;,No,3,2,2,Yes,1,Airbnb
13415,April 09 2019,Complete,"250 Broadway
Cambridge, MA 02139
(42.367356, -71.096038)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,3,6,Yes,2,Airbnb
13895,November 21 2019,Complete,"2 Lamson Pl
Cambridge, MA 02139
(42.367181, -71.101134)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,1,1,3,Yes,1,Airbnb
46141,July 03 2019,Complete,"44-A Cottage St
Cambridge, MA 02139
(42.363612, -71.107596)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,4,Yes,1,Airbnb
55534,October 24 2019,Complete,"28 Pleasant St
Cambridge, MA 02139
(42.364657, -71.107469)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,2,2,Yes,1,Airbnb
66523,March 12 2020,Complete,"62 Granville Rd
Cambridge, MA 02138
(42.383359, -71.135933)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,Yes,2,2,5,Yes,1,Airbnb
